Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
12/31/2018,44,51,39,0.48,0,0
1/1/2019,56,64,44,0,0,0
1/2/2019,46,48,42,0,0,0
1/3/2019,47,51,40,0,0,0
1/4/2019,43,50,36,0.04,0,0
1/5/2019,48,54,46,0.04,0,0
1/6/2019,50,57,39,0,0,0
1/7/2019,39,41,35,0,0,0
1/8/2019,45,60,39,0.24,0,0
1/9/2019,49,54,33,0,0,0
1/10/2019,35,39,30,0,0,0
1/11/2019,33,39,29,0,0,0
1/12/2019,33,37,30,0.13,1.9,0
1/13/2019,31,32,29,0.71,8.3,3.9
1/14/2019,32,37,27,0,0.1,9.8
1/15/2019,33,39,25,0,0,5.9
1/16/2019,34,44,24,0,0,5.1
1/17/2019,38,40,34,0.09,0.9,3.1
1/18/2019,36,41,34,0.02,0.1,3.1
1/19/2019,39,40,37,0.61,0,1.2
1/20/2019,40,56,18,0.19,0,0
1/21/2019,20,24,15,0,0,0
1/22/2019,22,33,16,0,0,0
1/23/2019,38,52,31,0,0,0
1/24/2019,51,60,36,1.03,0,0
1/25/2019,38,44,30,0,0,0
1/26/2019,33,42,26,0,0,0
1/27/2019,37,49,28,0,0,0
1/28/2019,37,40,30,0,0,0
1/29/2019,35,41,28,0.2,0.2,0
1/30/2019,28,39,12,0,0,0
1/31/2019,16,25,10,0,0,0
2/1/2019,21,24,20,0.05,0.9,0
2/2/2019,26,41,18,0,0,1.2
2/3/2019,38,56,28,0,0,0
2/4/2019,44,64,33,0,0,0
2/5/2019,50,74,36,0,0,0
2/6/2019,52,58,42,0.03,0,0
2/7/2019,50,56,46,0,0,0
2/8/2019,51,61,37,0,0,0
2/9/2019,35,37,28,0,0,0
2/10/2019,33,41,26,0.11,0.2,0
2/11/2019,36,38,34,0.35,0,0
2/12/2019,37,41,35,0.68,0,0
2/13/2019,42,51,37,0,0,0
2/14/2019,42,54,32,0,0,0
2/15/2019,53,65,47,0,0,0
2/16/2019,47,52,36,0,0,0
2/17/2019,37,41,32,0.21,0,0
2/18/2019,42,52,37,0.25,0,0
2/19/2019,37,43,29,0,0,0
2/20/2019,35,37,30,0.73,2.6,0
2/21/2019,41,60,34,0,0,2
2/22/2019,49,52,43,0.02,0,0
2/23/2019,42,44,39,0.15,0,0
2/24/2019,44,63,39,0.94,0,0
2/25/2019,47,51,41,0,0,0
2/26/2019,44,53,34,0,0,0
2/27/2019,38,41,32,0,0,0
2/28/2019,43,50,39,0,0,0
3/1/2019,36,39,34,0.64,0.3,0
3/2/2019,39,49,36,0.05,0,0
3/3/2019,43,47,37,0.52,0,0
3/4/2019,38,43,30,0.01,0,0
3/5/2019,33,43,27,0,0,0
3/6/2019,29,34,22,0,0,0
3/7/2019,32,45,25,0,0,0
3/8/2019,36,41,32,0.21,0,0
3/9/2019,38,43,35,0.07,0,0
3/10/2019,45,60,40,0.41,0,0
3/11/2019,55,62,48,0,0,0
3/12/2019,48,53,39,0,0,0
3/13/2019,46,60,34,0,0,0
3/14/2019,56,75,46,0,0,0
3/15/2019,68,78,57,0,0,0
3/16/2019,55,57,42,0,0,0
3/17/2019,45,54,37,0,0,0
3/18/2019,45,51,40,0,0,0
3/19/2019,44,54,35,0,0,0
3/20/2019,46,57,38,0,0,0
3/21/2019,47,49,43,1.96,0,0
3/22/2019,47,55,39,0.09,0,0
3/23/2019,44,55,37,0,0,0
3/24/2019,50,66,35,0,0,0
3/25/2019,56,65,45,0,0,0
3/26/2019,46,52,39,0,0,0
3/27/2019,45,55,35,0,0,0
3/28/2019,48,62,37,0,0,0
3/29/2019,58,71,51,0,0,0
3/30/2019,63,79,52,0,0,0
3/31/2019,60,64,35,0.04,0,0
4/1/2019,41,51,34,0,0,0
4/2/2019,44,50,39,0.04,0,0
4/3/2019,52,72,38,0,0,0
4/4/2019,58,69,44,0,0,0
4/5/2019,52,56,47,0.09,0,0
4/6/2019,54,71,47,0,0,0
4/7/2019,62,75,51,0,0,0
4/8/2019,69,84,59,0.03,0,0
4/9/2019,69,81,61,0.01,0,0
4/10/2019,65,72,50,0,0,0
4/11/2019,57,62,49,0,0,0
4/12/2019,58,73,49,0.05,0,0
4/13/2019,67,77,63,0.37,0,0
4/14/2019,68,77,63,0,0,0
4/15/2019,63,75,47,0.72,0,0
4/16/2019,55,69,44,0,0,0
4/17/2019,63,71,56,0,0,0
4/18/2019,63,80,55,0,0,0
4/19/2019,71,76,66,0.31,0,0
4/20/2019,69,74,61,0,0,0
4/21/2019,62,72,52,0,0,0
4/22/2019,64,74,55,0,0,0
4/23/2019,68,82,54,0,0,0
4/24/2019,71,77,64,0,0,0
4/25/2019,68,77,62,0,0,0
4/26/2019,65,77,58,0.59,0,0
4/27/2019,62,72,54,0.03,0,0
4/28/2019,62,74,51,0,0,0
4/29/2019,54,62,47,0,0,0
4/30/2019,65,83,56,0,0,0
5/1/2019,65,70,59,0,0,0
5/2/2019,68,87,60,0.48,0,0
5/3/2019,71,79,65,0,0,0
5/4/2019,70,76,65,0.55,0,0
5/5/2019,67,68,60,0.65,0,0
5/6/2019,66,78,59,0,0,0
5/7/2019,70,81,61,0,0,0
5/8/2019,69,74,63,0,0,0
5/9/2019,67,78,62,0,0,0
5/10/2019,72,82,67,0.52,0,0
5/11/2019,68,74,58,0.41,0,0
5/12/2019,58,61,51,0.49,0,0
5/13/2019,53,60,50,0.59,0,0
5/14/2019,57,64,51,0,0,0
5/15/2019,62,76,50,0,0,0
5/16/2019,67,80,56,0.01,0,0
5/17/2019,67,82,59,0,0,0
5/18/2019,75,84,64,0,0,0
5/19/2019,74,87,65,0.24,0,0
5/20/2019,80,90,73,0,0,0
5/21/2019,70,73,62,0,0,0
5/22/2019,65,72,57,0,0,0
5/23/2019,70,85,61,0.31,0,0
5/24/2019,75,84,70,0,0,0
5/25/2019,74,82,67,0,0,0
5/26/2019,77,92,69,0.24,0,0
5/27/2019,78,85,70,0,0,0
5/28/2019,78,91,70,0.19,0,0
5/29/2019,83,93,74,0,0,0
5/30/2019,80,90,72,0.29,0,0
5/31/2019,76,85,67,0,0,0
6/1/2019,77,87,69,0,0,0
6/2/2019,76,85,67,0.01,0,0
6/3/2019,69,76,58,0,0,0
6/4/2019,67,78,54,0,0,0
6/5/2019,74,83,65,0.01,0,0
6/6/2019,80,90,71,0,0,0
6/7/2019,77,81,71,0,0,0
6/8/2019,76,83,68,0,0,0
6/9/2019,71,74,65,0.13,0,0
6/10/2019,68,77,64,0.37,0,0
6/11/2019,73,81,64,0.14,0,0
6/12/2019,71,78,64,0.08,0,0
6/13/2019,69,79,61,1.05,0,0
6/14/2019,67,79,57,0,0,0
6/15/2019,71,84,61,0,0,0
6/16/2019,77,87,68,0,0,0
6/17/2019,81,91,74,0.99,0,0
6/18/2019,77,88,72,1.16,0,0
6/19/2019,77,87,72,0,0,0
6/20/2019,82,92,73,0.08,0,0
6/21/2019,77,85,71,0,0,0
6/22/2019,76,83,66,0,0,0
6/23/2019,75,84,63,0,0,0
6/24/2019,78,88,70,0.02,0,0
6/25/2019,80,90,74,0.19,0,0
6/26/2019,83,91,72,0,0,0
6/27/2019,84,92,74,0,0,0
6/28/2019,81,95,72,0,0,0
6/29/2019,83,96,72,0.04,0,0
6/30/2019,82,92,73,0,0,0
7/1/2019,80,88,69,0,0,0
7/2/2019,81,94,70,0.42,0,0
7/3/2019,82,93,73,0,0,0
7/4/2019,83,91,76,0.23,0,0
7/5/2019,81,90,77,0.01,0,0
7/6/2019,84,92,74,0.72,0,0
7/7/2019,80,89,75,0,0,0
7/8/2019,78,80,71,3.44,0,0
7/9/2019,76,86,67,0,0,0
7/10/2019,79,87,71,0,0,0
7/11/2019,80,91,72,0.88,0,0
7/12/2019,79,90,72,0,0,0
7/13/2019,82,91,73,0,0,0
7/14/2019,85,94,75,0,0,0
7/15/2019,83,90,72,0,0,0
7/16/2019,84,93,75,0,0,0
7/17/2019,85,95,74,0.29,0,0
7/18/2019,83,93,78,0,0,0
7/19/2019,87,96,79,0,0,0
7/20/2019,89,97,81,0,0,0
7/21/2019,91,99,80,0,0,0
7/22/2019,84,96,76,0.03,0,0
7/23/2019,74,77,70,0.08,0,0
7/24/2019,76,87,69,0.37,0,0
7/25/2019,76,88,65,0.01,0,0
7/26/2019,79,90,69,0,0,0
7/27/2019,80,89,71,0,0,0
7/28/2019,82,92,73,0,0,0
7/29/2019,84,94,75,0,0,0
7/30/2019,85,95,76,0,0,0
7/31/2019,82,90,74,0.01,0,0
8/1/2019,80,91,71,0,0,0
8/2/2019,79,87,72,0,0,0
8/3/2019,81,91,74,0,0,0
8/4/2019,83,92,76,0,0,0
8/5/2019,81,89,73,0,0,0
8/6/2019,81,92,72,0,0,0
8/7/2019,81,94,72,0.9,0,0
8/8/2019,80,92,72,0,0,0
8/9/2019,84,93,75,0,0,0
8/10/2019,78,85,66,0,0,0
8/11/2019,78,86,68,0,0,0
8/12/2019,79,92,70,0,0,0
8/13/2019,81,85,77,0.12,0,0
8/14/2019,82,90,76,0,0,0
8/15/2019,80,88,76,0.2,0,0
8/16/2019,80,89,74,0,0,0
8/17/2019,83,92,76,0,0,0
8/18/2019,84,96,76,0,0,0
8/19/2019,86,98,78,0,0,0
8/20/2019,85,96,74,0.36,0,0
8/21/2019,80,93,72,0.01,0,0
8/22/2019,84,95,76,0,0,0
8/23/2019,76,79,68,0.38,0,0
8/24/2019,71,81,64,0,0,0
8/25/2019,72,80,65,0,0,0
8/26/2019,70,76,64,0,0,0
8/27/2019,72,80,66,0,0,0
8/28/2019,75,84,68,0.02,0,0
8/29/2019,76,86,67,0,0,0
8/30/2019,76,89,65,0,0,0
8/31/2019,80,91,70,0,0,0
9/1/2019,78,83,71,0,0,0
9/2/2019,78,89,72,0.05,0,0
9/3/2019,78,89,71,0,0,0
9/4/2019,81,96,72,0.02,0,0
9/5/2019,78,81,72,0,0,0
9/6/2019,72,77,66,0,0,0
9/7/2019,73,86,63,0,0,0
9/8/2019,75,84,64,0,0,0
9/9/2019,77,85,70,0,0,0
9/10/2019,78,89,69,0,0,0
9/11/2019,79,93,71,0.01,0,0
9/12/2019,83,98,74,0.03,0,0
9/13/2019,73,76,68,0,0,0
9/14/2019,73,81,67,0,0,0
9/15/2019,80,90,72,0,0,0
9/16/2019,78,92,68,0,0,0
9/17/2019,78,82,68,0,0,0
9/18/2019,71,80,63,0,0,0
9/19/2019,67,76,59,0,0,0
9/20/2019,67,79,55,0,0,0
9/21/2019,72,88,61,0,0,0
9/22/2019,80,93,70,0,0,0
9/23/2019,81,94,72,0,0,0
9/24/2019,78,83,65,0,0,0
9/25/2019,72,84,61,0,0,0
9/26/2019,75,92,65,0,0,0
9/27/2019,74,84,64,0,0,0
9/28/2019,74,84,67,0,0,0
9/29/2019,80,91,72,0,0,0
9/30/2019,72,73,68,0.14,0,0
10/1/2019,75,87,69,0,0,0
10/2/2019,83,98,73,0,0,0
10/3/2019,79,82,73,0,0,0
10/4/2019,75,80,54,0,0,0
10/5/2019,58,67,49,0,0,0
10/6/2019,66,73,62,0,0,0
10/7/2019,74,84,63,0.02,0,0
10/8/2019,65,68,61,0,0,0
10/9/2019,64,73,56,0,0,0
10/10/2019,65,79,56,0,0,0
10/11/2019,66,77,55,0,0,0
10/12/2019,64,75,55,0,0,0
10/13/2019,60,67,56,0.12,0,0
10/14/2019,63,77,52,0,0,0
10/15/2019,63,73,50,0,0,0
10/16/2019,61,65,51,1.35,0,0
10/17/2019,56,61,50,0,0,0
10/18/2019,56,66,48,0,0,0
10/19/2019,55,66,44,0,0,0
10/20/2019,57,58,55,1.6,0,0
10/21/2019,60,70,55,0,0,0
10/22/2019,60,64,55,0.58,0,0
10/23/2019,59,67,49,0,0,0
10/24/2019,56,68,45,0,0,0
10/25/2019,58,70,50,0,0,0
10/26/2019,62,67,58,0,0,0
10/27/2019,68,80,61,1.48,0,0
10/28/2019,63,69,56,0,0,0
10/29/2019,62,68,59,0,0,0
10/30/2019,63,67,60,0.26,0,0
10/31/2019,67,77,53,1.25,0,0
11/1/2019,53,54,42,0,0,0
11/2/2019,46,56,37,0,0,0
11/3/2019,49,57,41,0,0,0
11/4/2019,49,61,39,0,0,0
11/5/2019,53,64,44,0,0,0
11/6/2019,52,60,44,0,0,0
11/7/2019,52,61,46,0.06,0,0
11/8/2019,44,47,35,0,0,0
11/9/2019,38,45,30,0,0,0
11/10/2019,44,56,36,0,0,0
11/11/2019,52,69,40,0,0,0
11/12/2019,50,60,30,0.07,0,0
11/13/2019,32,39,26,0,0,0
11/14/2019,34,42,28,0,0,0
11/15/2019,42,55,33,0,0,0
11/16/2019,42,47,37,0,0,0
11/17/2019,40,46,37,0,0,0
11/18/2019,43,49,40,0.29,0,0
11/19/2019,47,56,43,0.02,0,0
11/20/2019,50,55,46,0,0,0
11/21/2019,48,55,40,0,0,0
11/22/2019,51,56,40,0.22,0,0
11/23/2019,41,44,35,0.42,0,0
11/24/2019,45,54,40,0.28,0,0
11/25/2019,45,57,35,0,0,0
11/26/2019,48,62,38,0,0,0
11/27/2019,51,58,44,0.01,0,0
11/28/2019,50,54,43,0,0,0
11/29/2019,45,52,37,0,0,0
11/30/2019,43,46,41,0,0,0
12/1/2019,43,46,40,0.5,0,0
12/2/2019,42,44,40,0.01,0,0
12/3/2019,43,50,39,0,0,0
12/4/2019,42,50,36,0.01,0,0
12/5/2019,44,49,38,0,0,0
12/6/2019,43,53,36,0,0,0
12/7/2019,44,47,34,0,0,0
12/8/2019,38,48,31,0,0,0
12/9/2019,46,52,44,0.75,0,0
12/10/2019,55,60,39,0.13,0,0
12/11/2019,39,42,33,0.09,0.3,0
12/12/2019,35,41,29,0,0,0
12/13/2019,37,43,33,0.27,0,0
12/14/2019,45,52,41,0.12,0,0
12/15/2019,47,57,38,0,0,0
12/16/2019,38,40,34,0.41,0.1,0
12/17/2019,38,42,37,0.13,0,0
12/18/2019,38,44,27,0,0,0
12/19/2019,29,35,22,0,0,0
12/20/2019,32,43,24,0,0,0
12/21/2019,33,39,28,0,0,0
12/22/2019,35,47,27,0,0,0
12/23/2019,38,53,30,0,0,0
12/24/2019,42,54,33,0,0,0
12/25/2019,39,49,30,0,0,0
12/26/2019,40,55,31,0,0,0
12/27/2019,46,56,38,0,0,0
12/28/2019,50,67,38,0,0,0
12/29/2019,49,53,44,0.6,0,0
12/30/2019,55,66,45,0.26,0,0
12/31/2019,47,54,43,0,0,0
